Id,Desktop,Desktop[Brazil],Desktop[Guatemala],AppStore,AppStore[Brazil],AppStore[Guatemala],Name,Name[en],Name[es],Name[pt],Name[zh],Comment,Comment[en],Comment[es],Comment[pt],Comment[zh],URL,URL[en],URL[es],URL[pt],URL[zh],Icon,Icon[en],Icon[es],Icon[pt],Icon[zh],Categories
fluminense,,,,,X,,Fluminense,,,,,,,,,,http://www.fluminense.com.br,,,,,fluminense,,,,,Sports;
fofoca,,,,,X,,Fofoca,,,,,,,,,,http://www.fofoca.tv/,,,,,fofoca-tv,,,,,Entertainment;Games;
g1,,,,,X,,G1,,,,,,,,,,http://g1.globo.com,,,,,g1,,,,,News;
gazetaesportiva,,,,,X,,Gazeta Esportiva,,,,,,,,,,http://www.gazetaesportiva.net,,,,,gazeta-esportiva,,,,,Sports;
globo,,news:30,,,X,,Globo,,,,,,,,,,http://www.globo.com,,,,,globo-dot-com,,,,,News;
globoesporte,,news:20,,,X,,Esportes,,,,,Globo Esporte,,,,,http://globoesporte.globo.com,,,,,globoesporte-dot-com,,,,,Sports;
globotv,,,,,X,,RJTV 1a Edição,,,,,,,,,,http://globotv.globo.com/rede-globo/rjtv-1a-edicao/,,,,,rjtv,,,,,News;
globotvnews,,,,,X,,Globo News,,,,,,,,,,http://globotv.globo.com/globo-news,,,,,globonews,,,,,News;
gmail,work:40,work:40,work:40,X,X,X,Gmail,,,,,,,,,,http://gmail.com,,,,,gmail,,,,,Network;
gnt,,,,,X,,GNT,,,,,,,,,,http://gnt.globo.com,,,,,gnt,,,,,Entertainment;Games;
google,,,,X,X,X,Google,,,,,,,,,,http://www.google.com,,,,,google,,,,,Network;
googlebooks,media:80,media:80,media:80,X,X,X,Books,,Libros,Livros,书籍,,,,,,http://books.google.com,,http://books.google.com.gt/books?hl=es,http://books.google.com.br/books?hl=pt-BR,http://books.google.com.br/books?hl=zh_CN,googlebooks,,,,,Network;
gritodanacao,,,,,X,,Grito da Naçao,,,,,,,(614) 886-6032,,,http://blogs.lancenet.com.br/gritodanacao,,,,,grito-da-nacao,,,,,Sports;
